captured_at,health_status,health_ok,dify_reachable,meta_status,knowledge_base_rows,knowledge_base_imported,knowledge_base_chunked,knowledge_base_external,stats_status,recent_count,recent_avg_ms,recent_p50_ms,recent_p95_ms,recent_max_ms,recent_cache_hit_rate,runtime_started_at,runtime_pid,runtime_url,dify_host
2026-07-30T21:24:22,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-30T21:24:20,3960,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-07-31T20:56:48,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-07-31T20:56:45,4884,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-01T16:43:45,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-01T16:43:42,19540,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-03T09:36:11,200,True,False,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-03T09:34:49,19008,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-03T17:11:16,200,True,True,503,,,,,503,,,,,,,2026-08-03T17:11:14,18684,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-03T17:47:10,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-03T17:47:08,23824,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-03T19:14:44,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-03T19:14:42,29016,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-03T19:27:59,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-03T19:27:57,8600,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-04T06:46:11,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-04T06:46:09,33188,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-04T08:30:03,200,True,True,200,3009,3009,3164,1159,200,6,68.8,76.0,95.0,95.0,0.0,2026-08-04T06:46:09,33188,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-04T14:05:35,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-04T14:05:33,30220,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-05T13:19:32,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-05T13:19:28,34956,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-05T13:21:32,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-05T13:19:28,34956,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-05T20:10:35,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-05T20:10:33,32240,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-06T10:23:41,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-06T10:23:39,33796,http://127.0.0.1:8088,http://127.0.0.1:8080
2026-08-06T10:31:11,200,True,True,200,3009,3009,3164,1159,200,0,0.0,0.0,0.0,0.0,0.0,2026-08-06T10:23:39,33796,http://127.0.0.1:8088,http://127.0.0.1:8080
