url,row_count,traceability_status,http_status,content_type,is_pdf_source,backup_kind,has_local_pdf,local_paths
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/53-0,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/54-1,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/54-2,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/54-4,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-5-emergency-preparation/55-1,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-7-safe-chemical-use,5,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-7-safe-chemical-use/711-chemical,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-7-safe-chemical-use/73-safety-0,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-7-safe-chemical-use/74-routes-3,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-7-safe-chemical-use/79-0,7,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-8-chemical-hazards,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-9-particularly-hazardous-3,3,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/chemical-safety/safety-data-sheets-chemwatch,3,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\CORNELL-SDS_safety-data-sheets-chemwatch.html
https://ehs.cornell.edu/research-safety/general-laboratory-safety/hazard-assessment-and-signage-program-hasp/hasp-faqs,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/general-laboratory-safety/lab-safety-certificate-program,3,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/general-laboratory-safety/laboratory-operations-continuity,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/general-laboratory-safety/laboratory-safety-training-matrix,19,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\CORNELL-TRAINING-MATRIX_laboratory-safety-training-matrix.html
https://ehs.cornell.edu/research-safety/radiation-safety,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/radiation-safety/laser-safety,2,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\CORNELL-LASER-PAGE_laser-safety.html
https://ehs.cornell.edu/research-safety/radiation-safety/radioactive-materials,2,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/research-safety/radiation-safety/x-ray-equipment,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.cornell.edu/shipping-and-transportation/hazardous-materials-shipping-dot/cryogen-tips,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.mit.edu/chemical-safety-program/chemical-hygiene/,6,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\MIT-CHEM-HYGIENE_chemical-hygiene.html
https://ehs.mit.edu/chemical-safety-program/compressed-gas-cylinder-safety/,1,open,200,text/html; charset=UTF-8,no,none,no,
https://ehs.mit.edu/chemical-safety/,3,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\MIT-CHEMICAL_chemical-safety.html
https://ehs.ncsu.edu/home-page-info/environmental-affairs/chemical-waste/,7,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\NCSU-CHEM-WASTE_chemical-waste.html
https://ehs.ncsu.edu/laboratory-safety/laboratory-security-and-safety-guidelines/,3,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\NCSU-LAB-SECURITY_laboratory-security-and-safety-guidelines.html
https://ehs.ncsu.edu/laboratory-safety/secondary-safety-contact/chemical-hazards-ssc/,1,open,200,text/html; charset=UTF-8,no,original,no,D:\newwork\Security\lab-safe-assistant-dify-rag\artifacts\web_ingest_public_20260429\raw\NCSU-CHEM-HAZARDS_chemical-hazards-ssc.html
