"priority","traceability_status","http_status","affected_row_count","domain","source_orgs","sample_source_title","sample_ids","url","final_url","error","manual_result","manual_access_time","reviewer","evidence_note","recommended_action"
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Labeling outer containers of chemical cleaning products while in storage","KB-PHASE4-0030","https://www.osha.gov/laws-regs/standardinterpretations/2017-05-05","https://www.osha.gov/laws-regs/standardinterpretations/2017-05-05","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Hazard Communication Standard's (HCS 2012) June 1, 2016 effective date","KB-PHASE4-0046","https://www.osha.gov/laws-regs/standardinterpretations/2017-03-23-2","https://www.osha.gov/laws-regs/standardinterpretations/2017-03-23-2","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","OSHA","OSHA Interpretation - Labeling of Secondary Containers","KB-PHASE4-0623","https://www.osha.gov/laws-regs/standardinterpretations/2015-09-03-0","https://www.osha.gov/laws-regs/standardinterpretations/2015-09-03-0","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Process Safety Management - Overview","KB-PHASE4-0015","https://www.osha.gov/process-safety-management","https://www.osha.gov/process-safety-management","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","OSHA Hazard Information Bulletin: Use of Hydrofluoric Acid in the Petroleum Refining Alkylation Process","KB-PHASE4-0011","https://www.osha.gov/publications/hib19931119","https://www.osha.gov/publications/hib19931119","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","OSHA (Occupational Safety and Health Administration)","Hazardous Waste Container Management","KB-RECO-0405","https://www.osha.gov/laws-regs/standardinterpretations/2010-12-20-0","https://www.osha.gov/laws-regs/standardinterpretations/2010-12-20-0","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","OSHA","OSHA Lockout/Tagout Standard 1910.147","KB-PHASE4-0590","https://www.osha.gov/laws-regs/standardinterpretations/2010-11-30","https://www.osha.gov/laws-regs/standardinterpretations/2010-11-30","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Clearing Piping Systems with Natural Gas","KB-PHASE4-0055","https://www.osha.gov/laws-regs/standardinterpretations/2010-08-27","https://www.osha.gov/laws-regs/standardinterpretations/2010-08-27","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","Occupational Safety and Health Administration (OSHA)","OSHA Interpretation - Extension Cord Repair","KB-RECO-0156","https://www.osha.gov/laws-regs/standardinterpretations/2010-04-12","https://www.osha.gov/laws-regs/standardinterpretations/2010-04-12","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Requirement to provide accessible quick drenching and flushing facilities where there is exposure to corrosive materials","KB-PHASE4-0012","https://www.osha.gov/laws-regs/standardinterpretations/2007-02-27","https://www.osha.gov/laws-regs/standardinterpretations/2007-02-27","","","","","",""
"P1","blocked_or_forbidden","403","1","www.osha.gov","U.S. Occupational Safety and Health Administration (OSHA)","Fixed industrial stair requirements for access to secondary containment structures surrounding bulk chemical storage tanks","KB-PHASE4-0040","https://www.osha.gov/laws-regs/standardinterpretations/2003-12-10","https://www.osha.gov/laws-regs/standardinterpretations/2003-12-10","","","","","",""
