url,traceability_status,http_status,row_count,source_orgs,sample_source_title,sample_ids,final_url,content_type,bytes_sampled,error
https://pubs.acs.org/doi/10.1021/acs.jchemed.5b00511,blocked_or_forbidden,403,2,American Chemical Society,ACS Committee on Chemical Safety - Hazard Assessment,KB-RECO-0249;KB-RECO-0251,https://pubs.acs.org/doi/10.1021/acs.jchemed.5b00511,text/html; charset=UTF-8,5879,
https://radiology.ucsf.edu/patient-care/patient-safety/mri-safety-guidelines/access-restriction,blocked_or_forbidden,403,1,UCSF Radiology,Access Restriction - MRI Safety Guidelines,KB-PHASE4-0507,https://radiology.ucsf.edu/patient-care/patient-safety/mri-safety-guidelines/access-restriction,text/html; charset=UTF-8,6022,
https://reach.cdc.gov/sites/default/files/2025-07/Autoclave-Text-Version-UPDATED.pdf,open,200,2,CDC (Centers for Disease Control and Prevention),"Autoclave: Loading, Operating, and Unloading Scenario",KB-RECO-0388;KB-RECO-0389,https://reach.cdc.gov/sites/default/files/2025-07/Autoclave-Text-Version-UPDATED.pdf,application/pdf,65536,
https://reach.cdc.gov/sites/default/files/job-aids-resources/Crisis%20Response%20Toolkit.pdf,open,200,4,CDC (Centers for Disease Control and Prevention),Crisis Response Toolkit - Cleaning a Simple Chemical Spill,KB-RECO-0413;KB-RECO-0414;KB-RECO-0416;KB-RECO-0418,https://reach.cdc.gov/sites/default/files/job-aids-resources/Crisis%20Response%20Toolkit.pdf,application/pdf,65536,
https://reagent.bjmu.edu.cn/file/20230414134400495_%E5%AE%9E%E9%AA%8C%E5%AE%A4%E5%AE%89%E5%85%A8%E6%89%8B%E5%86%8C%E5%8D%B0%E5%88%B7%E7%89%8820210610.pdf,open,200,1,教育部/高校通用,放射性事故应急处置规范,KB-1027,https://reagent.bjmu.edu.cn/file/20230414134400495_%E5%AE%9E%E9%AA%8C%E5%AE%A4%E5%AE%89%E5%85%A8%E6%89%8B%E5%86%8C%E5%8D%B0%E5%88%B7%E7%89%8820210610.pdf,application/pdf,65536,
https://research.harvard.edu/research-policies-compliance/lab-safety/,open,200,1,Harvard University Office of the Vice Provost for Research,Lab Safety,KB-PHASE4-0586,https://research.harvard.edu/research-policies-compliance/lab-safety/,text/html; charset=UTF-8,72900,
https://sbc.cug.edu.cn/info/1234/3228.htm,open,200,2,中国地质大学（武汉）实验室与设备管理处,实验室危险废弃物安全处置管理办法,WEB-009-001;WEB-009-002,https://sbc.cug.edu.cn/info/1234/3228.htm,text/html,36129,
https://sbc.sysu.edu.cn/article/570,open,200,16,中山大学设备与实验室管理处;高校通用/教育部,化学化工实验室安全管理规范,WEB-007-001;WEB-007-002;WEB-007-003;WEB-007-004;WEB-007-005,https://sbc.sysu.edu.cn/article/570,text/html,65536,
https://sbc.sysu.edu.cn/article/670,open,200,11,中山大学设备与实验室管理处,实验室化学品安全管理实施细则,WEB-004-001;WEB-004-002;WEB-004-003;WEB-004-004;WEB-004-005,https://sbc.sysu.edu.cn/article/670,text/html,65536,
https://sciex.com/content/dam/SCIEX/pdf/customer-docs/user-guide/safety-practices-guide-en.pdf,open,200,2,SCIEX,SCIEX Safety Practices Guide,KB-PHASE4-0531;KB-PHASE4-0533,https://sciex.com/content/dam/SCIEX/pdf/customer-docs/user-guide/safety-practices-guide-en.pdf,application/pdf,65536,
